Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
252,32,48,0,0,49,0,0,0,0,0
253,21,53,0,0,54,0,0,0,0,0
254,25,68,0,0,53,0,0,0,0,0
255,23,53,0,0,58,0,0,0,0,0
256,19,41,0,0,56,0,0,0,0,0
257,23,49,0,0,47,0,0,0,0,0
258,20,66,0,0,53,0,0,0,0,0
259,16,47,0,0,48,0,0,0,0,0
260,21,53,0,0,46,0,0,0,0,0
261,16,54,0,0,53,0,0,0,0,0
262,13,51,0,0,52,0,0,0,0,0
263,19,48,0,0,62,0,0,0,0,0
264,13,37,0,0,59,0,0,0,0,0
265,13,42,0,0,45,0,0,0,0,0
266,15,50,0,0,48,0,0,0,0,0
267,17,42,0,0,38,0,0,0,0,0
268,16,39,0,0,41,0,0,0,0,0
269,11,42,0,0,37,0,0,0,0,0
270,13,40,0,0,55,0,0,0,0,0
271,15,33,0,0,63,0,0,0,0,0
272,12,55,0,0,53,0,0,0,0,0
273,11,48,0,0,64,0,0,0,0,0
274,8,56,0,0,54,0,0,0,0,0
275,8,45,0,0,63,0,0,0,0,0
276,6,47,0,0,67,0,0,0,0,0
277,7,50,0,0,64,0,0,0,0,0
278,13,33,0,0,75,0,0,0,0,0
279,12,37,0,0,56,0,0,0,0,0
280,11,43,0,0,54,0,0,0,0,0
281,7,37,0,0,64,0,0,0,0,0
282,7,34,0,0,71,0,0,0,0,0
283,5,40,0,0,67,0,0,0,0,0
284,7,43,0,0,64,0,0,0,0,0
285,7,39,0,0,64,0,0,0,0,0
286,6,31,0,0,66,0,0,0,0,0
287,4,29,0,0,57,0,0,0,0,0
288,5,40,0,0,73,0,0,0,0,0
289,10,28,0,0,73,0,0,0,0,0
290,5,24,0,0,56,0,0,0,0,0
291,3,32,0,0,72,0,0,0,0,0
292,8,25,0,0,63,0,0,0,0,0
293,8,37,0,0,74,0,0,0,0,0
294,4,33,0,0,64,0,0,0,0,0
295,7,25,0,0,72,0,0,0,0,0
296,3,27,0,0,73,0,0,0,0,0
297,5,30,0,0,65,0,0,0,0,0
298,3,21,0,0,99,0,0,0,0,0
299,1,35,0,0,75,0,0,0,0,0
300,3,30,0,0,98,0,0,0,0,0
301,5,24,0,0,97,0,0,0,0,0
302,3,32,0,0,99,0,0,0,0,0
303,3,20,0,0,86,0,0,0,0,0
304,0,20,0,0,84,0,0,0,0,0
305,4,27,0,0,94,0,0,0,0,0
306,3,21,0,0,82,0,0,0,0,0
307,2,18,0,0,97,0,0,0,0,0
308,2,19,0,0,80,0,0,0,0,0
309,1,27,0,0,104,0,0,0,0,0
310,2,21,0,0,95,0,0,0,0,0
311,5,20,0,0,100,1,0,0,0,0
312,2,18,0,0,110,0,0,0,0,0
313,1,19,0,0,109,0,0,0,0,0
314,0,10,0,0,74,0,0,0,0,0
315,1,24,0,0,93,0,0,0,0,0
316,0,20,0,0,102,0,0,0,0,0
317,5,18,0,0,101,0,0,0,0,0
318,0,22,0,0,78,1,0,0,0,0
319,1,13,0,0,80,0,0,0,0,0
320,2,11,0,0,97,0,0,0,0,0
321,0,15,0,0,102,0,0,0,0,0
322,1,21,0,0,104,0,0,0,0,0
323,1,15,0,0,97,0,0,0,0,0
324,1,6,0,0,90,0,0,0,0,0
325,1,12,0,0,110,0,0,0,0,0
326,1,13,0,0,105,0,0,0,0,0
327,1,13,0,0,101,0,0,0,0,0
328,2,15,0,0,106,0,0,0,0,0
329,0,18,0,0,97,0,0,0,0,0
330,2,5,0,0,105,0,0,0,0,0
331,0,12,0,0,100,0,0,0,0,0
332,0,5,0,0,107,0,0,0,0,0
333,3,7,0,0,113,0,0,0,0,0
334,1,7,0,0,101,0,0,0,0,0
335,0,8,0,0,106,0,0,0,0,0
336,1,6,0,0,118,0,0,0,0,0
337,1,6,0,0,101,1,0,0,0,0
338,0,3,0,0,91,0,0,0,0,0
339,0,8,0,0,89,0,0,0,0,0
340,2,8,0,0,110,0,0,0,0,0
341,2,6,0,0,96,0,0,0,0,0
342,0,6,0,0,98,0,0,0,0,0
343,0,4,0,0,98,0,0,0,0,0
344,1,3,0,0,102,0,0,0,0,0
345,0,6,0,0,105,0,0,0,0,0
346,0,5,0,0,107,0,0,0,0,0
347,0,3,0,0,101,0,0,0,0,0
348,1,8,0,0,126,0,0,0,0,0
349,0,6,0,0,97,0,0,0,0,0
350,0,2,0,0,108,0,0,0,0,0
351,0,5,0,0,107,0,0,0,0,0
352,0,2,0,0,103,0,0,0,0,0
353,0,6,0,0,101,0,0,0,0,0
354,0,2,0,0,120,0,0,0,0,0
355,0,6,0,0,93,0,0,0,0,0
356,0,4,0,0,95,0,0,0,0,0
357,1,2,0,0,113,0,0,0,0,0
358,0,3,0,0,99,0,0,0,0,0
359,0,6,0,0,121,0,0,0,0,0
360,0,2,0,0,99,0,0,0,0,0
361,0,2,0,0,105,0,0,0,0,0
362,0,2,0,0,108,0,0,0,0,0
363,0,1,0,0,99,0,0,0,0,0
364,0,2,0,0,100,0,0,0,0,0
365,0,3,0,0,93,0,0,0,0,0
366,0,4,0,0,124,0,0,0,0,0
367,0,1,0,0,89,0,0,0,0,0
368,0,1,0,0,111,0,0,0,0,0
369,0,1,0,0,113,0,0,0,0,0
370,0,1,0,0,107,0,0,0,0,0
371,0,2,0,0,92,0,0,0,0,0
372,0,2,0,0,100,0,0,0,0,0
373,0,0,0,0,121,0,0,0,0,0
374,0,2,0,0,106,0,0,0,0,0
375,0,2,0,0,117,0,0,0,0,0
376,0,2,0,0,125,0,0,0,0,0
377,0,1,0,0,119,0,0,0,0,0
378,0,0,0,0,99,0,0,0,0,0
379,0,1,0,0,100,0,0,0,0,0
380,0,0,0,0,103,0,0,0,0,0
381,0,2,0,0,91,0,0,0,0,0
382,0,0,0,0,103,0,0,0,0,0
383,0,2,0,0,98,0,0,0,0,0
384,0,0,0,0,119,0,0,0,0,0
385,0,2,0,0,112,0,0,0,0,0
386,0,0,0,0,107,0,0,0,0,0
387,0,0,0,0,112,0,0,0,0,0
388,0,0,0,0,102,0,0,0,0,0
389,0,1,0,0,91,0,0,0,0,0
390,0,3,0,0,103,0,0,0,0,0
391,0,1,0,0,100,0,0,0,0,0
392,0,0,0,0,117,0,0,0,0,0
393,0,0,0,0,84,0,0,0,0,0
394,0,3,0,0,103,0,0,0,0,0
395,0,0,0,0,116,0,0,0,0,0
396,0,0,0,0,93,0,0,0,0,0
397,0,0,0,0,103,0,0,0,0,0
398,0,0,0,0,103,0,0,0,0,0
399,0,0,0,0,102,0,0,0,0,0
400,0,1,0,0,115,0,0,0,0,0
401,0,1,0,0,101,0,0,0,0,0
402,0,0,0,0,123,0,0,0,0,0
403,0,0,0,0,110,0,0,0,0,0
404,0,0,0,0,100,0,0,0,0,0
405,0,0,0,0,113,0,0,0,0,0
406,0,0,0,0,121,0,0,0,0,0
407,0,0,0,0,98,0,0,0,0,0
408,0,0,0,0,99,0,0,0,0,0
409,0,0,0,0,83,0,0,0,0,0
410,0,1,0,0,100,0,0,0,0,0
411,0,0,0,0,109,0,0,0,0,0
412,0,0,0,0,94,1,0,0,0,0
413,0,0,0,0,97,0,0,0,0,0
414,0,0,0,0,108,0,0,0,0,0
415,0,0,0,0,107,0,0,0,0,0
416,0,0,0,0,104,0,0,0,0,0
417,0,0,0,0,102,0,0,0,0,0
418,0,0,0,0,113,0,0,0,0,0
419,0,0,0,0,105,0,0,0,0,0
420,0,0,0,0,96,0,0,0,0,0
421,0,0,0,0,111,0,0,0,0,0
422,0,0,0,0,120,0,0,0,0,0
423,0,0,0,0,104,0,0,0,0,0
424,0,0,0,0,99,0,0,0,0,0
425,0,0,0,0,122,0,0,0,0,0
426,0,0,0,0,96,0,0,0,0,0
427,0,0,0,0,114,0,0,0,0,0
428,0,0,0,0,102,0,0,0,0,0
429,0,0,0,0,94,0,0,0,0,0
430,0,0,0,0,103,0,0,0,0,0
431,0,0,0,0,109,0,0,0,0,0
432,0,0,0,0,103,0,0,0,0,0
433,0,0,0,0,103,0,0,0,0,0
434,0,0,0,0,103,0,0,0,0,0
435,0,0,0,0,101,0,0,0,0,0
436,0,0,0,0,89,0,0,0,0,0
437,0,0,0,0,103,0,0,0,0,0
438,0,0,0,0,118,0,0,0,0,0
439,0,0,0,0,104,0,0,0,0,0
440,0,0,0,0,105,0,0,0,0,0
441,0,0,0,0,99,0,0,0,0,0
442,0,0,0,0,105,0,0,0,0,0
443,0,0,0,0,109,0,0,0,0,0
444,0,0,0,0,109,0,0,0,0,0
445,0,0,0,0,113,0,0,0,0,0
446,0,0,0,0,98,0,0,0,0,0
447,0,0,0,0,111,0,0,0,0,0
448,0,0,0,0,123,0,0,0,0,0
449,0,0,0,0,118,0,0,0,0,0
450,0,0,0,0,125,0,0,0,0,0
451,0,0,0,0,133,0,0,0,0,0
452,0,0,0,0,116,0,0,0,0,0
453,0,0,0,0,94,0,0,0,0,0
