Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
187,76,31,0,0,6,0,0,0,0,0
188,48,24,0,0,2,0,0,0,0,0
189,83,34,0,0,2,0,0,0,0,0
190,61,24,0,0,7,0,0,0,0,0
191,71,35,0,0,2,0,0,0,0,0
192,46,24,0,0,2,0,0,0,0,0
193,52,25,0,0,4,0,0,0,0,0
194,54,34,0,0,3,0,0,0,0,0
195,64,30,0,0,7,0,0,0,0,0
196,56,26,0,0,7,0,0,0,0,0
197,56,26,0,0,4,0,0,0,0,0
198,49,31,0,0,3,0,0,0,0,0
199,75,31,0,0,4,0,0,0,0,0
200,63,35,0,0,37,0,0,0,0,0
201,43,40,0,0,22,0,0,0,0,0
202,48,29,0,0,23,0,0,0,0,0
203,48,30,0,0,16,0,0,0,0,0
204,61,37,0,0,19,0,0,0,0,0
205,53,31,0,0,25,0,0,0,0,0
206,54,45,0,0,21,0,0,0,0,0
207,47,34,0,0,21,0,0,0,0,0
208,52,34,0,0,22,0,0,0,0,0
209,56,35,0,0,8,0,0,0,0,0
210,54,29,0,0,18,0,0,0,0,0
211,47,34,0,0,17,0,0,0,0,0
212,45,37,0,0,18,0,0,0,0,0
213,46,28,0,0,20,0,0,0,0,0
214,48,44,0,0,14,0,0,0,0,0
215,47,37,0,0,14,0,0,0,0,0
216,37,41,0,0,11,0,0,0,0,0
217,48,43,0,0,15,0,0,0,0,0
218,34,43,0,0,15,0,0,0,0,0
219,30,25,0,0,16,0,0,0,0,0
220,37,37,0,0,15,0,0,0,0,0
221,36,39,0,0,19,0,0,0,0,0
222,44,40,0,0,9,0,0,0,0,0
223,49,38,0,0,11,0,0,0,0,0
224,38,44,0,0,16,0,0,0,0,0
225,42,36,0,0,5,0,0,0,0,0
226,35,49,0,0,14,0,0,0,0,0
227,50,43,0,0,14,0,0,0,0,0
228,42,43,0,0,11,0,0,0,0,0
229,36,43,0,0,12,0,0,0,0,0
230,40,43,0,0,10,0,0,0,0,0
231,31,39,0,0,17,0,0,0,0,0
232,24,51,0,0,24,0,0,0,0,0
233,36,37,0,0,23,0,0,0,0,0
234,33,58,0,0,28,0,0,0,0,0
235,32,51,0,0,19,0,0,0,0,0
236,32,53,0,0,22,0,0,0,0,0
237,31,46,0,0,23,0,0,0,0,0
238,34,41,0,0,26,0,0,0,0,0
239,38,40,0,0,29,0,0,0,0,0
240,15,64,0,0,34,0,0,0,0,0
241,42,39,0,0,24,0,0,0,0,0
242,34,41,0,0,22,0,0,0,0,0
243,27,46,0,0,26,0,0,0,0,0
